,OR,z-value,2.5%,97.5%
C(poutcome)[T.success],9.350657593342577,4.973288764637674e-192,8.062496443222452,10.844630821689874
C(month)[T.mar],3.0258541803773364,2.1079523375794252e-23,2.4338808028235146,3.761808511857064
C(month)[T.sep],1.9600275875688848,5.320335232263079e-10,1.5849314362782922,2.4238954797010863
C(month)[T.oct],1.9040077979025978,4.5500501523501894e-11,1.571909126715758,2.30626925746544
C(month)[T.dec],1.838109387725489,0.00017167259281253926,1.3380389291207015,2.5250731108883837
C(job)[T.retired],1.492151354662416,3.8039546647839317e-06,1.2592281035358734,1.7681591277774826
C(job)[T.student],1.4105007703663563,0.0005425555520114877,1.1607262640046265,1.7140237839885344
C(education)[T.tertiary],1.37025918355531,2.042907715233352e-06,1.203218021770837,1.5604904482350512
C(poutcome)[T.other],1.3140454064763523,0.0006704965946121545,1.1227000038906085,1.538002426559042
C(education)[T.unknown],1.2151476733089581,0.035292372454823674,1.013515851301617,1.4568927225478103
C(month)[T.jun],1.1867231488577747,0.040449473534739974,1.0074771900666841,1.3978597688566001
C(education)[T.secondary],1.1611988385969716,0.008606152169997926,1.0386915615071777,1.2981550950528622
C(job)[T.unemployed],1.122090241152544,0.23886563106928604,0.9263583052494232,1.3591787347885476
C(marital)[T.single],1.102150413929526,0.10086093524592968,0.9812511141486638,1.2379456363511325
C(poutcome)[T.unknown],1.0789832598822002,0.3705102090300001,0.9136029603093015,1.274300681678917
previous,1.010327193392534,0.09444620164199313,0.9982349106349664,1.0225659580059563
day,1.0037154042800458,0.09443103131498536,0.9993627252334342,1.008087041222929
age,1.0016418704665873,0.40318562569197025,0.9977965698533767,1.005501990069212
balance,1.0000168893243302,0.00018066477213199417,1.0000080492889927,1.0000257294378136
pdays,0.999950286633616,0.8583894319906282,0.9994043567738253,1.0004965147104494
C(job)[T.management],0.9520191384252623,0.4547469008879338,0.8368660642754635,1.0830173173680597
C(job)[T.technician],0.9413994756211538,0.3296490801894355,0.8337659533085134,1.0629277547051095
C(job)[T.services],0.9274286015133697,0.3127705102229197,0.801217142766201,1.073521477505422
campaign,0.9168352888663172,4.017594671818818e-24,0.9015633619218921,0.9323659128279975
C(job)[T.self-employed],0.9154888015579005,0.3743531891368048,0.7534390464327461,1.1123922363011403
C(default)[T.yes],0.8918292855106005,0.43674616200818506,0.6683152728461109,1.1900962117881912
C(job)[T.blue-collar],0.8917054604460672,0.07794847968087096,0.7850053440548393,1.0129085543318104
C(job)[T.unknown],0.8333618518078676,0.38292827809389984,0.5533486184840689,1.2550713110140945
C(job)[T.entrepreneur],0.8279909879347753,0.09021938134231913,0.665571130869676,1.0300462930316685
C(marital)[T.married],0.8175103472117669,0.00010241209132395634,0.7384894698182516,0.9049867264360364
C(contact)[T.telephone],0.783141280566128,0.00017714579045909797,0.6892049356928995,0.8898808374176205
C(job)[T.housemaid],0.7416519860690982,0.01274908103718496,0.5862179349649299,0.9382989424797179
C(month)[T.feb],0.6904048713561289,3.308438653572237e-06,0.5906040241352399,0.8070701636179926
C(loan)[T.yes],0.6728131257514501,9.266553130898172e-14,0.6062089292121471,0.7467351277252781
C(month)[T.may],0.6286394967070326,5.518386456169014e-13,0.5541323939561644,0.7131646175721198
C(housing)[T.yes],0.591774104770524,3.387433816559874e-42,0.5487186442653732,0.6382079317640095
C(month)[T.jul],0.4969771611413212,1.1047573349853502e-24,0.43481921901203235,0.5680206575442381
C(month)[T.aug],0.43553483206839005,1.4752320518096308e-32,0.3797316905569192,0.49953847588184747
C(month)[T.nov],0.42397505922239026,2.46790810328699e-30,0.36603835719683775,0.49108200632090004
C(month)[T.jan],0.32624528683772436,2.9452730810676734e-25,0.26407223203440405,0.40305633941081037
Intercept,0.274891010809847,2.55078152431571e-15,0.19962445404083443,0.3785361276860505
C(contact)[T.unknown],0.26189620399430585,7.100339246445568e-99,0.23125619768019942,0.2965958203700927
